"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","requested_family_code","family_code","selected_family","link","selection_reason","poisson_dispersion_ratio","dispersion_threshold","poisson_overdispersed","poisson_valid","poisson_AIC","poisson_warnings","poisson_error","nbinom2_fitted","nbinom2_valid","nbinom2_AIC","nbinom2_theta","nbinom2_poisson_limit_threshold","nbinom2_at_poisson_limit","nbinom2_warnings","nbinom2_error","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","model_warnings","model_error","fixed_effect_structure","structure_reason","n_all_zero_period_status_cells","missing_period_status_cell","n_all_zero_date_status_cells","complete_date_status_design"
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",39,2,2,2,3,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 5.804, greater than the threshold of 1.5",5.803695264961362,1.5,TRUE,TRUE,332.78014492179545,NA,NA,TRUE,TRUE,229.04120008709373,1.1347081514412656,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,229.04120008709373,-108.52060004354686,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",39,2,2,2,3,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 5.804, greater than the threshold of 1.5",5.803695264961362,1.5,TRUE,TRUE,332.78014492179545,NA,NA,TRUE,TRUE,229.04120008709373,1.1347081514412656,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,229.04120008709373,-108.52060004354686,NA,NA,"start_date_fct * Status","Full date x Status interaction used",NA,NA,0,TRUE
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",89,4,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.924, greater than the threshold of 1.5",1.9241098462472614,1.5,TRUE,TRUE,353.29882270008676,NA,NA,TRUE,TRUE,337.1485511574686,1.9891363293855187,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,337.1485511574686,-161.5742755787343,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",89,4,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.855, greater than the threshold of 1.5",1.8548551787582745,1.5,TRUE,TRUE,348.5285911197193,NA,NA,TRUE,TRUE,337.80074606512386,2.4129483438252337,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,337.80074606512386,-158.90037303256193,NA,NA,"start_date_fct * Status","Full date x Status interaction used",NA,NA,0,TRUE
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.083, greater than the threshold of 1.5",2.082544521180502,1.5,TRUE,TRUE,234.4491718305424,NA,NA,TRUE,TRUE,216.9933370967767,1.8707394173929293,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,216.9933370967767,-102.49666854838836,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.083, greater than the threshold of 1.5",2.082544521180502,1.5,TRUE,TRUE,234.4491718305424,NA,NA,TRUE,TRUE,216.9933370967767,1.8707394173929293,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,216.9933370967767,-102.49666854838836,NA,NA,"start_date_fct * Status","Full date x Status interaction used",NA,NA,0,TRUE
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",145,7,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.952, greater than the threshold of 1.5",3.952201649495514,1.5,TRUE,TRUE,1110.2525763127499,NA,NA,TRUE,TRUE,933.7723143558408,3.2477070614688484,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,933.7723143558408,-459.8861571779204,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",145,7,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 4.137, greater than the threshold of 1.5",4.136736883892194,1.5,TRUE,TRUE,1079.6916089832037,NA,NA,TRUE,TRUE,926.1679117678414,3.699430649795527,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,926.1679117678414,-447.0839558839207,NA,NA,"start_date_fct * Status","Full date x Status interaction used",NA,NA,0,TRUE
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",45,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.586, greater than the threshold of 1.5",3.58564134150134,1.5,TRUE,TRUE,359.67963409180584,NA,NA,TRUE,TRUE,302.9748354778545,3.4238354478000215,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,302.9748354778545,-145.48741773892726,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",45,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.586, greater than the threshold of 1.5",3.58564134150134,1.5,TRUE,TRUE,359.67963409180584,NA,NA,TRUE,TRUE,302.9748354778545,3.4238354478000215,1000000,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,302.9748354778545,-145.48741773892726,NA,NA,"start_date_fct * Status","Full date x Status interaction used",NA,NA,0,TRUE
