site_name,status,n_years_sampled,n_location_years,proportion_years_sampled,total_events,total_transects,2005,2006,2007,2008,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2023,2024,2026
Carrickalinga (toilet),Fished,14,17,0.8235294117647058,14,57,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 3 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 2 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 8 transects
Carrickalinga North Site 2,Fished,9,17,0.5294117647058824,9,36,-,-,-,-,-,-,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects
Carrickalinga North Site,Fished,8,17,0.47058823529411764,8,32,-,-,-,-,-,-,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects
Carrickalinga Nth,Fished,8,17,0.47058823529411764,8,32,-,-,-,-,-,-,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects
Haycock Point,Fished,7,17,0.4117647058823529,7,27,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 2 transects,1 event / 4 transects,-,1 event / 5 transects,-,-,-,-,-,-,-,-,1 event / 4 transects
Normanville Beach,Fished,5,17,0.29411764705882354,5,20,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects,1 event / 4 transects,-,-,-,-,-,1 event / 4 transects
Myponga,Fished,4,17,0.23529411764705882,4,16,-,-,-,-,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,-,-,-,1 event / 4 transects
Lady Bay,Fished,3,17,0.17647058823529413,3,12,-,-,-,-,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,-,-,-,-,1 event / 4 transects
South Shores,Fished,3,17,0.17647058823529413,3,12,-,-,-,-,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,-,-,-,-,1 event / 4 transects
Yankalilla Mouth,Fished,3,17,0.17647058823529413,3,12,-,-,-,-,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,-,-,-,-,1 event / 4 transects
Carrickalinga Head,No-take,12,17,0.7058823529411765,13,54,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects,-,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 6 transects,1 event / 4 transects,1 event / 8 transects
Dodd's Beach,No-take,11,17,0.6470588235294118,11,44,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects
Myponga South,No-take,11,17,0.6470588235294118,11,44,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects
Ripple Rock,No-take,11,17,0.6470588235294118,11,44,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects
